original	convert
4226	4226
4722	4722
33-16	33-16
38-11	38-11
A188	A188
A214N	A214NGoodman-Buckler
A239	A239
A272	A272
A441-5	A441-5
A554	A554
A556	A556
A6	A6
A619	A619
A632	A632
A634	A634
A635	A635
A641	A641
A654	A654
A659	A659
A661	A661
A679	A679
A680	A680
A682	A682
Ab28A	Ab28A
B10	B10
B103	B103
B104	B104
B105	B105
B109	B109
B14A	B14A
B164	B164
B2	B2
B37	B37
B46	B46
B52	B52
B57	B57
B64	B64
B68	B68
B73	B73
B75	B75
B76	B76
B77	B77
B79	B79
B84	B84
B97	B97
C103	C103
C123	C123
C49A	C49A
CH701-30	CH701-30
CH9	CH9
CI187-2	CI_187-2
CI21E	CI_21E
CI28A	CI_28A
CI3A	CI_3A
CI64	CI_64
CI91B	CI_91B
CI31A	CI31A
CI66	CI66
CI7	Ci7Goodman-Buckler
CI90C	CI90C
CM105	CM105
CM37	CM37
CM7	CM7
CML108	CML_108
CML154Q	CML_154Q
CML218	CML_218
CML220	CML_220
CML228	CML_228
CML247	CML_247
CML254	CML_254
CML264	CML_264
CML277	CML_277
CML287	CML_287
CML322	CML_322
CML323	CML_323
CML52	CML_52
CML91	CML_91
CML10	CML10
CML11	CML11
CML14	CML14
CML157Q	CML157Q
CML158Q	CML158Q
CML238	CML238
CML258	CML258
CML261	CML261
CML281	CML281
CML311	CML311
CML314	CML314
CML321	CML321
CML328	CML328
CML331	CML331
CML332	CML332
CML333	CML333
CML341	CML341
CML38	CML38
CML45	CML45
CML5	CML5
CML61	CML61
CML69	CML69
CML77	CML77
CML92	CML92
CMV3	CMV3
CO106	CO106
CO125	CO125
CO255	CO255
D940Y	D940Y
DE1	DE1
DE811	DE811
E2558W	E2558W
EP1	EP1
F2834T	F2834T
F6	F6
F7	F7
GA209	GA209
GT112	GT112
H105W	H105W
H49	H49
H84	H84
H91	H91
H95	H95
H99	H99
Hi27	Hi27Goodman-Buckler
HP301	HP301
I205	I_205
I137TN	I137TN
Il677a	i1677a
I29	I29
IA2132	IA2132
Ia5125	Ia5125
IDS28	IDS28
IDS69	IDS69
IDS91	IDS91
Il101T	Il101
Il14H	Il14H
IllHy	ILLHy
K148	K148
K4	K4
K55	K55
K64	K64
Ki11	Ki11
Ki14	Ki14
KUI2021	Ki2021
Ki21	Ki21
Ki3	Ki3
Ki43	Ki43
Ki44	Ki44
Ky21	Ky21
Ky226	Ky226
Ky228	Ky228
L317	L317
L578	L578
M14	M14
M162W	M162W
M37W	M37W
MEF156-55-2	MEF156-55-2
Mo17	Mo17
Mo18W	MO18W
Mo1W	Mo1W
Mo24W	Mo24W
Mo44	Mo44
Mo45	Mo45
Mo46	Mo46
Mo47	Mo47
MoG	MoG
Mp339	Mp339
MS1334	MS1334
MS153	MS153
MS71	MS71
Mt42	Mt42
N192	N192
N28Ht	N28Ht
N6	N6
NC222	NC222
NC230	NC230
NC232	NC232
NC236	NC236
NC238	NC238
NC250	NC250
NC258	NC258
NC260	NC260
NC262	NC262
NC264	NC264
NC290A	NC290A
NC294	NC294
NC296	NC296
NC296A	NC296A
NC298	NC298
NC300	NC300
NC302	NC302
NC304	NC304
NC306	NC306
NC310	NC310
NC314	NC314
NC318	NC318
NC320	NC320
NC324	NC324
NC326	NC326
NC328	NC328
NC33	NC33
NC336	NC336
NC338	NC338
NC340	NC340
NC342	NC342
NC344	NC344
NC346	NC346
NC348	NC348
NC350	NC350
NC352	NC352
NC354	NC354
NC356	NC356
NC358	NC358
NC360	NC360
NC362	NC362
NC364	NC364
NC366	NC366
NC368	NC368
ND246	ND246
Oh40B	Oh40B
Oh43	Oh43
Oh43E	Oh43E
Oh603	Oh603
Oh7B	Oh7B
Os420	Os420
P39	P39
Pa762	Pa762
Pa875	Pa875
Pa880	Pa880
Pa91	Pa91
R168	R168
R177	R177
R229	R229
R4	R4
SA24	SA24
SC213R	SC213R
SC357	SC357
SC55	SC55
SD40	SD40
SD44	SD44
Sg1533	Sg_1533
SG18	Sg_18
T232	T232
T234	T234
T8	T8
Tx303	Tx303
Tx601	Tx601
Tzi10	Tzi10
Tzi11	Tzi11
Tzi16	Tzi16
Tzi18	Tzi18
Tzi25	Tzi25
Tzi9	Tzi9
U267Y	U267Y
Va102	Va102
Va14	Va14
Va17	Va17
Va22	Va22
Va26	Va26
Va35	Va35
Va59	Va59
Va85	Va85
Va99	Va99
VaW6	VaW6
W117HT	W117HT
W153R	W153R
W182B	W182B
W22	W22
W64A	W64A
Wf9	Wf9
Yu796NS	YU796NS